stat_id,athlete_id,season_year,sport_id,games_played,wins,losses,score_metric,mvp_awards,championship_wins,injury_days,notes
43,15,2022,8,50,12,38,48.1,2,1,9,"Batting avg: 48.1, Runs: 1628, Centuries: 8"
44,15,2020,8,36,11,25,59.9,0,0,9,"Batting avg: 59.9, Runs: 526, Centuries: 14"
45,15,2021,8,49,19,30,39.5,2,1,6,"Batting avg: 39.5, Runs: 956, Centuries: 0"
46,16,2021,6,11,10,1,64.0,1,1,4,"Batting avg: 64.0, Runs: 1764, Centuries: 14"
47,16,2020,6,10,12,-2,33.2,0,1,6,"Batting avg: 33.2, Runs: 1000, Centuries: 13"
48,16,2022,6,29,30,-1,58.0,1,1,22,"Batting avg: 58.0, Runs: 1920, Centuries: 1"
49,17,2022,6,13,13,0,57.1,0,1,5,"Batting avg: 57.1, Runs: 693, Centuries: 8"
50,17,2020,6,34,31,3,30.4,2,0,12,"Batting avg: 30.4, Runs: 1879, Centuries: 14"
51,17,2023,6,25,28,-3,64.8,0,1,23,"Batting avg: 64.8, Runs: 1878, Centuries: 3"
52,18,2024,2,34,26,8,63.6,1,0,20,"Batting avg: 63.6, Runs: 1791, Centuries: 1"
53,18,2021,2,45,21,24,34.3,1,1,6,"Batting avg: 34.3, Runs: 1038, Centuries: 1"
54,18,2023,2,23,8,15,38.3,1,1,0,"Batting avg: 38.3, Runs: 642, Centuries: 8"
55,19,2024,2,25,5,20,63.9,2,1,22,"Batting avg: 63.9, Runs: 1521, Centuries: 4"
56,19,2020,2,33,29,4,33.1,0,1,2,"Batting avg: 33.1, Runs: 1704, Centuries: 10"
57,19,2021,2,50,6,44,32.1,2,0,22,"Batting avg: 32.1, Runs: 1398, Centuries: 3"
58,20,2021,1,30,22,8,57.6,1,1,23,"Batting avg: 57.6, Runs: 695, Centuries: 0"
59,20,2023,1,34,16,18,55.4,1,0,15,"Batting avg: 55.4, Runs: 1747, Centuries: 14"
60,20,2020,1,45,14,31,49.0,1,0,18,"Batting avg: 49.0, Runs: 682, Centuries: 11"
61,21,2022,1,48,34,14,60.1,0,0,16,"Batting avg: 60.1, Runs: 617, Centuries: 14"
62,21,2023,1,28,31,-3,39.2,1,1,0,"Batting avg: 39.2, Runs: 1889, Centuries: 12"
63,21,2021,1,21,33,-12,30.7,1,0,10,"Batting avg: 30.7, Runs: 1776, Centuries: 2"
64,22,2024,5,43,26,17,47.4,2,0,19,"Batting avg: 47.4, Runs: 879, Centuries: 10"
65,22,2023,5,36,25,11,41.3,0,0,1,"Batting avg: 41.3, Runs: 565, Centuries: 5"
66,22,2020,5,12,11,1,33.7,0,0,1,"Batting avg: 33.7, Runs: 1469, Centuries: 12"
67,23,2023,5,33,12,21,51.2,0,0,29,"Batting avg: 51.2, Runs: 727, Centuries: 15"
68,23,2022,5,15,19,-4,58.0,0,1,17,"Batting avg: 58.0, Runs: 1822, Centuries: 13"
69,23,2020,5,33,30,3,54.8,2,1,16,"Batting avg: 54.8, Runs: 383, Centuries: 2"
70,24,2022,1,43,8,35,33.5,0,1,6,"Batting avg: 33.5, Runs: 695, Centuries: 7"
71,24,2020,1,46,25,21,63.2,2,1,23,"Batting avg: 63.2, Runs: 516, Centuries: 11"
72,24,2023,1,39,27,12,53.3,0,0,25,"Batting avg: 53.3, Runs: 669, Centuries: 12"
73,25,2024,3,20,22,-2,64.9,1,1,28,"Batting avg: 64.9, Runs: 945, Centuries: 10"
74,25,2022,3,33,18,15,56.7,1,1,19,"Batting avg: 56.7, Runs: 792, Centuries: 6"
75,25,2023,3,34,29,5,49.3,2,1,11,"Batting avg: 49.3, Runs: 1226, Centuries: 14"
76,26,2023,3,12,14,-2,50.9,2,0,28,"Batting avg: 50.9, Runs: 918, Centuries: 0"
77,26,2020,3,29,12,17,37.5,1,0,24,"Batting avg: 37.5, Runs: 1983, Centuries: 8"
78,26,2022,3,45,21,24,49.5,2,0,3,"Batting avg: 49.5, Runs: 377, Centuries: 14"
79,27,2022,3,26,16,10,61.1,0,0,8,"Batting avg: 61.1, Runs: 1961, Centuries: 9"
80,27,2021,3,15,23,-8,44.0,0,0,23,"Batting avg: 44.0, Runs: 964, Centuries: 15"
81,27,2020,3,21,20,1,58.9,2,0,19,"Batting avg: 58.9, Runs: 1615, Centuries: 9"
82,28,2020,3,13,34,-21,57.0,1,1,13,"Batting avg: 57.0, Runs: 546, Centuries: 7"
83,28,2023,3,48,34,14,30.4,2,1,1,"Batting avg: 30.4, Runs: 924, Centuries: 1"
84,28,2024,3,30,22,8,49.8,1,0,4,"Batting avg: 49.8, Runs: 403, Centuries: 12"
85,29,2023,3,37,14,23,57.5,0,0,10,"Batting avg: 57.5, Runs: 469, Centuries: 15"
86,29,2020,3,46,28,18,31.7,1,1,2,"Batting avg: 31.7, Runs: 1116, Centuries: 13"
87,29,2024,3,18,29,-11,34.7,2,0,15,"Batting avg: 34.7, Runs: 1109, Centuries: 6"
88,30,2024,2,14,13,1,57.2,1,0,3,"Batting avg: 57.2, Runs: 1675, Centuries: 13"
89,30,2021,2,37,16,21,42.2,1,1,19,"Batting avg: 42.2, Runs: 1642, Centuries: 0"
90,30,2020,2,29,10,19,64.6,2,1,19,"Batting avg: 64.6, Runs: 598, Centuries: 14"
91,31,2020,2,33,9,24,56.5,0,0,23,"Batting avg: 56.5, Runs: 411, Centuries: 7"
92,31,2021,2,49,34,15,35.2,1,0,10,"Batting avg: 35.2, Runs: 1720, Centuries: 3"
93,31,2024,2,29,19,10,46.5,1,0,23,"Batting avg: 46.5, Runs: 1401, Centuries: 6"
94,32,2021,2,40,24,16,55.5,0,0,12,"Batting avg: 55.5, Runs: 1493, Centuries: 1"
95,32,2022,2,26,10,16,32.1,0,1,1,"Batting avg: 32.1, Runs: 1252, Centuries: 0"
96,32,2023,2,14,17,-3,53.1,2,1,27,"Batting avg: 53.1, Runs: 520, Centuries: 0"
97,33,2022,7,34,21,13,64.2,0,1,15,"Batting avg: 64.2, Runs: 1522, Centuries: 2"
98,33,2023,7,21,11,10,47.5,1,0,1,"Batting avg: 47.5, Runs: 806, Centuries: 9"
99,33,2020,7,31,20,11,43.8,0,0,11,"Batting avg: 43.8, Runs: 1701, Centuries: 11"
100,34,2022,7,42,13,29,58.4,2,1,28,"Batting avg: 58.4, Runs: 1092, Centuries: 0"
101,34,2024,7,45,35,10,39.8,0,1,28,"Batting avg: 39.8, Runs: 1104, Centuries: 4"
102,34,2020,7,15,28,-13,43.4,2,0,13,"Batting avg: 43.4, Runs: 792, Centuries: 4"
103,35,2023,8,31,19,12,49.0,0,0,18,"Batting avg: 49.0, Runs: 1408, Centuries: 6"
104,35,2022,8,18,14,4,54.1,2,0,13,"Batting avg: 54.1, Runs: 1877, Centuries: 4"
105,35,2024,8,46,34,12,35.5,0,0,5,"Batting avg: 35.5, Runs: 950, Centuries: 4"
106,36,2020,9,36,14,22,45.5,2,1,4,"Batting avg: 45.5, Runs: 1895, Centuries: 6"
107,36,2022,9,16,9,7,36.5,2,1,19,"Batting avg: 36.5, Runs: 1461, Centuries: 7"
108,36,2021,9,48,12,36,38.1,0,1,2,"Batting avg: 38.1, Runs: 1709, Centuries: 15"
109,37,2021,9,33,10,23,59.8,1,1,4,"Batting avg: 59.8, Runs: 635, Centuries: 6"
110,37,2023,9,24,6,18,44.3,0,1,30,"Batting avg: 44.3, Runs: 1145, Centuries: 7"
111,37,2022,9,22,29,-7,37.2,0,1,27,"Batting avg: 37.2, Runs: 1563, Centuries: 15"
112,38,2022,10,37,17,20,57.2,2,1,23,"Batting avg: 57.2, Runs: 940, Centuries: 12"
113,38,2023,10,49,35,14,56.0,2,0,16,"Batting avg: 56.0, Runs: 523, Centuries: 14"
114,38,2020,10,39,31,8,60.7,0,1,23,"Batting avg: 60.7, Runs: 380, Centuries: 12"
115,39,2024,1,28,19,9,43.9,1,1,14,"Batting avg: 43.9, Runs: 640, Centuries: 13"
116,39,2020,1,28,24,4,62.2,2,0,14,"Batting avg: 62.2, Runs: 1999, Centuries: 14"
117,39,2023,1,15,28,-13,47.5,0,0,12,"Batting avg: 47.5, Runs: 1146, Centuries: 10"
118,40,2023,1,39,23,16,61.4,0,1,2,"Batting avg: 61.4, Runs: 812, Centuries: 10"
119,40,2020,1,20,27,-7,55.7,0,0,22,"Batting avg: 55.7, Runs: 1220, Centuries: 11"
120,40,2024,1,15,21,-6,54.8,2,0,12,"Batting avg: 54.8, Runs: 1427, Centuries: 12"
121,41,2020,1,46,32,14,53.1,0,0,27,"Batting avg: 53.1, Runs: 596, Centuries: 5"
122,41,2021,1,13,18,-5,40.8,2,1,9,"Batting avg: 40.8, Runs: 1582, Centuries: 5"
123,41,2023,1,17,33,-16,34.6,0,0,19,"Batting avg: 34.6, Runs: 1867, Centuries: 8"
124,42,2020,2,41,22,19,58.3,2,1,7,"Batting avg: 58.3, Runs: 744, Centuries: 15"
125,42,2023,2,39,18,21,45.5,2,0,7,"Batting avg: 45.5, Runs: 1420, Centuries: 8"
126,42,2021,2,49,25,24,49.5,0,0,5,"Batting avg: 49.5, Runs: 603, Centuries: 1"
127,43,2022,2,12,26,-14,50.2,2,1,10,"Batting avg: 50.2, Runs: 479, Centuries: 1"
128,43,2020,2,16,18,-2,64.8,0,1,19,"Batting avg: 64.8, Runs: 1653, Centuries: 5"
129,43,2023,2,39,28,11,50.3,0,0,24,"Batting avg: 50.3, Runs: 912, Centuries: 10"
130,44,2022,2,37,31,6,49.3,1,1,4,"Batting avg: 49.3, Runs: 549, Centuries: 8"
131,44,2023,2,31,21,10,44.5,0,0,19,"Batting avg: 44.5, Runs: 419, Centuries: 3"
132,44,2020,2,46,28,18,64.3,2,0,15,"Batting avg: 64.3, Runs: 1782, Centuries: 9"
133,45,2023,2,43,23,20,64.8,1,0,19,"Batting avg: 64.8, Runs: 1452, Centuries: 15"
134,45,2022,2,43,28,15,52.1,1,0,28,"Batting avg: 52.1, Runs: 1548, Centuries: 7"
135,45,2021,2,28,11,17,30.1,0,1,20,"Batting avg: 30.1, Runs: 1931, Centuries: 3"
136,46,2021,2,12,15,-3,42.2,2,0,0,"Batting avg: 42.2, Runs: 1611, Centuries: 6"
137,46,2023,2,28,13,15,57.7,1,1,16,"Batting avg: 57.7, Runs: 1426, Centuries: 10"
138,46,2024,2,10,8,2,54.0,1,1,23,"Batting avg: 54.0, Runs: 1465, Centuries: 0"
139,47,2021,2,31,34,-3,53.5,1,0,20,"Batting avg: 53.5, Runs: 578, Centuries: 15"
140,47,2024,2,19,25,-6,46.1,2,1,14,"Batting avg: 46.1, Runs: 1905, Centuries: 13"
141,47,2023,2,13,31,-18,48.2,2,1,17,"Batting avg: 48.2, Runs: 1397, Centuries: 0"
142,48,2021,2,14,9,5,39.8,0,1,12,"Batting avg: 39.8, Runs: 1583, Centuries: 5"
143,48,2022,2,46,24,22,43.6,2,0,27,"Batting avg: 43.6, Runs: 1902, Centuries: 9"
144,48,2024,2,30,27,3,31.1,1,0,15,"Batting avg: 31.1, Runs: 786, Centuries: 11"
145,49,2023,2,43,14,29,36.1,1,0,24,"Batting avg: 36.1, Runs: 713, Centuries: 2"
146,49,2022,2,38,21,17,30.9,1,0,6,"Batting avg: 30.9, Runs: 996, Centuries: 15"
147,49,2020,2,43,14,29,57.1,0,0,26,"Batting avg: 57.1, Runs: 1357, Centuries: 4"
148,50,2021,2,34,27,7,60.3,0,0,9,"Batting avg: 60.3, Runs: 390, Centuries: 2"
149,50,2020,2,31,19,12,61.1,0,1,0,"Batting avg: 61.1, Runs: 1482, Centuries: 9"
150,50,2024,2,50,33,17,37.3,0,0,9,"Batting avg: 37.3, Runs: 866, Centuries: 10"
151,51,2023,2,19,10,9,39.6,0,0,6,"Batting avg: 39.6, Runs: 1411, Centuries: 11"
152,51,2020,2,45,15,30,39.5,2,1,18,"Batting avg: 39.5, Runs: 801, Centuries: 5"
153,51,2021,2,14,14,0,51.5,1,1,1,"Batting avg: 51.5, Runs: 566, Centuries: 0"
154,52,2023,2,34,6,28,33.0,1,0,22,"Batting avg: 33.0, Runs: 1520, Centuries: 14"
155,52,2020,2,49,16,33,40.9,0,0,29,"Batting avg: 40.9, Runs: 1847, Centuries: 14"
156,52,2024,2,46,9,37,33.3,2,1,3,"Batting avg: 33.3, Runs: 1233, Centuries: 9"
157,53,2023,2,24,9,15,60.1,2,1,29,"Batting avg: 60.1, Runs: 1044, Centuries: 12"
158,53,2024,2,21,27,-6,62.1,1,1,14,"Batting avg: 62.1, Runs: 1298, Centuries: 0"
159,53,2020,2,14,20,-6,34.0,1,1,27,"Batting avg: 34.0, Runs: 649, Centuries: 9"
160,54,2022,2,16,17,-1,58.6,0,1,17,"Batting avg: 58.6, Runs: 1630, Centuries: 2"
161,54,2021,2,29,22,7,46.1,2,1,7,"Batting avg: 46.1, Runs: 1571, Centuries: 7"
162,54,2024,2,45,10,35,64.1,1,0,10,"Batting avg: 64.1, Runs: 726, Centuries: 13"
163,55,2023,2,25,10,15,53.2,0,1,3,"Batting avg: 53.2, Runs: 1512, Centuries: 14"
164,55,2022,2,30,22,8,33.4,1,0,9,"Batting avg: 33.4, Runs: 1131, Centuries: 2"
165,55,2024,2,48,8,40,54.0,2,1,10,"Batting avg: 54.0, Runs: 1312, Centuries: 1"
166,56,2020,4,47,33,14,56.4,0,0,21,"Batting avg: 56.4, Runs: 605, Centuries: 14"
167,56,2021,4,44,14,30,43.6,2,1,6,"Batting avg: 43.6, Runs: 721, Centuries: 10"
168,56,2024,4,29,23,6,57.8,2,1,29,"Batting avg: 57.8, Runs: 1190, Centuries: 11"
169,57,2020,4,42,17,25,59.7,1,0,11,"Batting avg: 59.7, Runs: 1424, Centuries: 1"
170,57,2024,4,10,27,-17,49.6,1,0,27,"Batting avg: 49.6, Runs: 877, Centuries: 0"
171,57,2022,4,25,18,7,54.6,1,1,22,"Batting avg: 54.6, Runs: 1083, Centuries: 12"
172,58,2023,4,23,26,-3,36.1,0,0,17,"Batting avg: 36.1, Runs: 1087, Centuries: 11"
173,58,2024,4,36,9,27,40.1,2,0,4,"Batting avg: 40.1, Runs: 323, Centuries: 2"
174,58,2022,4,11,9,2,55.2,1,1,4,"Batting avg: 55.2, Runs: 473, Centuries: 4"
175,59,2023,4,48,34,14,44.9,0,1,16,"Batting avg: 44.9, Runs: 1168, Centuries: 14"
176,59,2024,4,34,16,18,37.9,1,0,18,"Batting avg: 37.9, Runs: 1320, Centuries: 7"
177,59,2022,4,42,13,29,44.4,2,1,1,"Batting avg: 44.4, Runs: 377, Centuries: 15"
178,60,2022,4,40,35,5,54.2,0,1,14,"Batting avg: 54.2, Runs: 1358, Centuries: 2"
179,60,2020,4,43,33,10,51.4,0,1,20,"Batting avg: 51.4, Runs: 1818, Centuries: 2"
180,60,2024,4,50,22,28,57.9,1,0,28,"Batting avg: 57.9, Runs: 1003, Centuries: 0"
181,61,2023,5,40,23,17,55.7,1,1,30,"Batting avg: 55.7, Runs: 1934, Centuries: 9"
182,61,2024,5,28,10,18,31.2,2,1,23,"Batting avg: 31.2, Runs: 1907, Centuries: 8"
183,61,2022,5,13,25,-12,46.6,0,0,21,"Batting avg: 46.6, Runs: 897, Centuries: 0"
184,62,2022,5,18,21,-3,32.7,1,1,4,"Batting avg: 32.7, Runs: 1561, Centuries: 8"
185,62,2023,5,27,32,-5,39.0,2,0,19,"Batting avg: 39.0, Runs: 657, Centuries: 4"
186,62,2020,5,38,16,22,58.3,1,0,15,"Batting avg: 58.3, Runs: 670, Centuries: 1"
187,63,2022,5,48,34,14,58.8,1,1,24,"Batting avg: 58.8, Runs: 1084, Centuries: 7"
188,63,2020,5,38,28,10,52.3,0,1,1,"Batting avg: 52.3, Runs: 1615, Centuries: 8"
189,63,2023,5,17,6,11,35.9,1,1,9,"Batting avg: 35.9, Runs: 1275, Centuries: 7"
190,64,2023,5,26,9,17,48.6,1,0,9,"Batting avg: 48.6, Runs: 1932, Centuries: 14"
191,64,2024,5,34,26,8,41.0,2,0,3,"Batting avg: 41.0, Runs: 1388, Centuries: 11"
192,64,2021,5,37,24,13,62.1,1,1,8,"Batting avg: 62.1, Runs: 846, Centuries: 3"
193,65,2022,5,25,28,-3,53.5,0,1,21,"Batting avg: 53.5, Runs: 1713, Centuries: 5"
194,65,2023,5,30,22,8,30.4,0,0,0,"Batting avg: 30.4, Runs: 1142, Centuries: 3"
195,65,2021,5,43,8,35,54.0,1,0,23,"Batting avg: 54.0, Runs: 880, Centuries: 8"
196,66,2021,5,49,7,42,32.0,2,0,30,"Batting avg: 32.0, Runs: 1527, Centuries: 3"
197,66,2020,5,17,7,10,60.0,0,1,21,"Batting avg: 60.0, Runs: 1864, Centuries: 5"
198,66,2023,5,17,27,-10,36.4,1,1,21,"Batting avg: 36.4, Runs: 455, Centuries: 14"
199,67,2022,5,30,13,17,35.7,0,1,24,"Batting avg: 35.7, Runs: 427, Centuries: 12"
200,67,2023,5,34,15,19,64.9,1,1,5,"Batting avg: 64.9, Runs: 1202, Centuries: 2"
201,67,2024,5,41,34,7,37.0,1,0,20,"Batting avg: 37.0, Runs: 1307, Centuries: 3"
202,68,2021,7,49,25,24,33.7,1,1,3,"Batting avg: 33.7, Runs: 371, Centuries: 2"
203,68,2023,7,14,23,-9,55.5,1,0,28,"Batting avg: 55.5, Runs: 1319, Centuries: 4"
204,68,2020,7,50,5,45,62.7,2,1,8,"Batting avg: 62.7, Runs: 610, Centuries: 10"
205,69,2023,7,41,20,21,45.3,2,0,17,"Batting avg: 45.3, Runs: 762, Centuries: 0"
206,69,2020,7,34,35,-1,54.1,1,0,18,"Batting avg: 54.1, Runs: 1396, Centuries: 11"
207,69,2022,7,31,26,5,40.6,0,0,11,"Batting avg: 40.6, Runs: 1394, Centuries: 10"
208,70,2020,7,22,10,12,49.4,1,0,9,"Batting avg: 49.4, Runs: 1725, Centuries: 12"
209,70,2023,7,16,25,-9,54.1,1,0,28,"Batting avg: 54.1, Runs: 1595, Centuries: 14"
210,70,2021,7,22,9,13,31.2,0,0,15,"Batting avg: 31.2, Runs: 1096, Centuries: 2"
211,71,2024,8,44,35,9,59.2,1,0,1,"Batting avg: 59.2, Runs: 994, Centuries: 1"
212,71,2022,8,31,30,1,55.2,1,0,6,"Batting avg: 55.2, Runs: 1952, Centuries: 14"
213,71,2021,8,44,9,35,55.9,0,0,1,"Batting avg: 55.9, Runs: 1806, Centuries: 4"
214,72,2023,8,49,6,43,38.5,2,0,0,"Batting avg: 38.5, Runs: 652, Centuries: 1"
215,72,2020,8,29,31,-2,57.8,1,0,26,"Batting avg: 57.8, Runs: 1510, Centuries: 2"
216,72,2021,8,16,8,8,47.4,2,0,2,"Batting avg: 47.4, Runs: 1947, Centuries: 6"
217,73,2023,8,35,15,20,34.2,2,0,10,"Batting avg: 34.2, Runs: 1924, Centuries: 6"
218,73,2022,8,12,23,-11,36.1,0,0,8,"Batting avg: 36.1, Runs: 589, Centuries: 13"
219,73,2024,8,20,27,-7,42.9,0,1,7,"Batting avg: 42.9, Runs: 1491, Centuries: 1"
220,74,2021,8,49,17,32,57.2,0,1,2,"Batting avg: 57.2, Runs: 313, Centuries: 0"
221,74,2020,8,21,34,-13,33.1,2,1,13,"Batting avg: 33.1, Runs: 1720, Centuries: 15"
222,74,2022,8,18,11,7,35.0,1,1,13,"Batting avg: 35.0, Runs: 789, Centuries: 5"
223,75,2024,3,21,27,-6,47.5,0,1,11,"Batting avg: 47.5, Runs: 1157, Centuries: 0"
224,75,2020,3,45,12,33,36.7,2,0,19,"Batting avg: 36.7, Runs: 1041, Centuries: 7"
225,75,2022,3,39,29,10,51.9,0,1,1,"Batting avg: 51.9, Runs: 696, Centuries: 3"
226,76,2021,3,21,10,11,53.5,0,0,20,"Batting avg: 53.5, Runs: 1045, Centuries: 9"
227,76,2023,3,23,18,5,38.8,2,1,1,"Batting avg: 38.8, Runs: 513, Centuries: 1"
228,76,2024,3,44,10,34,35.5,0,1,16,"Batting avg: 35.5, Runs: 537, Centuries: 2"
229,77,2021,3,47,15,32,44.7,2,1,7,"Batting avg: 44.7, Runs: 1895, Centuries: 3"
230,77,2023,3,30,12,18,33.4,2,1,27,"Batting avg: 33.4, Runs: 709, Centuries: 12"
231,77,2022,3,24,7,17,46.5,1,0,28,"Batting avg: 46.5, Runs: 1192, Centuries: 4"
232,78,2021,3,34,16,18,34.8,2,0,20,"Batting avg: 34.8, Runs: 1034, Centuries: 8"
233,78,2023,3,22,15,7,34.5,2,0,8,"Batting avg: 34.5, Runs: 579, Centuries: 3"
234,78,2020,3,39,19,20,44.6,1,0,28,"Batting avg: 44.6, Runs: 904, Centuries: 5"
235,79,2024,3,45,32,13,38.0,1,1,27,"Batting avg: 38.0, Runs: 743, Centuries: 15"
236,79,2021,3,39,13,26,30.5,1,0,7,"Batting avg: 30.5, Runs: 970, Centuries: 13"
237,79,2022,3,47,12,35,61.2,2,0,29,"Batting avg: 61.2, Runs: 1474, Centuries: 0"
238,80,2023,3,40,28,12,56.9,0,1,16,"Batting avg: 56.9, Runs: 1107, Centuries: 15"
239,80,2020,3,16,19,-3,47.3,0,0,22,"Batting avg: 47.3, Runs: 1798, Centuries: 13"
240,80,2024,3,23,9,14,42.5,0,0,0,"Batting avg: 42.5, Runs: 1282, Centuries: 9"
241,81,2021,2,47,5,42,64.2,1,0,27,"Batting avg: 64.2, Runs: 1740, Centuries: 12"
242,81,2023,2,21,30,-9,60.5,2,1,22,"Batting avg: 60.5, Runs: 1597, Centuries: 0"
243,81,2022,2,50,7,43,43.5,2,1,16,"Batting avg: 43.5, Runs: 366, Centuries: 9"
244,82,2023,2,49,22,27,50.1,0,0,19,"Batting avg: 50.1, Runs: 987, Centuries: 1"
245,82,2022,2,42,35,7,61.9,1,0,3,"Batting avg: 61.9, Runs: 1084, Centuries: 11"
246,82,2024,2,39,24,15,31.4,1,0,20,"Batting avg: 31.4, Runs: 1444, Centuries: 2"
247,83,2024,2,31,12,19,48.9,2,1,23,"Batting avg: 48.9, Runs: 1840, Centuries: 6"
248,83,2021,2,24,15,9,42.3,1,1,8,"Batting avg: 42.3, Runs: 411, Centuries: 2"
249,83,2020,2,33,16,17,45.8,2,0,15,"Batting avg: 45.8, Runs: 1753, Centuries: 9"
250,84,2023,2,14,11,3,61.2,1,0,2,"Batting avg: 61.2, Runs: 1100, Centuries: 5"
251,84,2022,2,28,35,-7,63.5,0,0,8,"Batting avg: 63.5, Runs: 529, Centuries: 4"
252,84,2024,2,41,9,32,60.6,2,0,9,"Batting avg: 60.6, Runs: 1153, Centuries: 4"
253,85,2023,2,38,28,10,52.6,1,0,2,"Batting avg: 52.6, Runs: 345, Centuries: 7"
254,85,2022,2,43,25,18,41.8,2,1,20,"Batting avg: 41.8, Runs: 1623, Centuries: 10"
255,85,2021,2,41,23,18,53.3,2,1,14,"Batting avg: 53.3, Runs: 922, Centuries: 4"
256,86,2022,2,24,20,4,43.0,1,0,4,"Batting avg: 43.0, Runs: 1023, Centuries: 9"
257,86,2021,2,39,35,4,35.8,0,1,5,"Batting avg: 35.8, Runs: 659, Centuries: 4"
258,86,2023,2,20,12,8,34.1,1,0,14,"Batting avg: 34.1, Runs: 833, Centuries: 11"
