earning_id,athlete_id,year,on_field_earnings,off_field_earnings,total_earnings,forbes_rank,currency
151,51,2022,8933741.08,7926660.67,16860401.75,63,USD
152,51,2023,8520019.15,8156164.32,16676183.47,24,USD
153,51,2024,8717505.89,7156533.12,15874039.01,96,USD
154,52,2022,18376193.71,7569234.26,25945427.97,60,USD
155,52,2023,20041973.97,7584828.61,27626802.58,36,USD
156,52,2024,16456330.26,7845359.58,24301689.84,27,USD
157,53,2022,16566563.93,5759799.13,22326363.06,65,USD
158,53,2023,16879070.39,5624744.3,22503814.69,100,USD
159,53,2024,17184315.14,5830495.29,23014810.43,95,USD
160,54,2022,21379985.96,2668131.5,24048117.46,12,USD
161,54,2023,19053939.06,2689019.52,21742958.58,50,USD
162,54,2024,19725148.21,2980096.16,22705244.37,100,USD
163,55,2022,16478731.24,6301104.49,22779835.73,31,USD
164,55,2023,18495289.78,5899865.33,24395155.11,98,USD
165,55,2024,19098021.63,5288918.7,24386940.33,23,USD
166,56,2022,11488428.77,9454045.43,20942474.2,49,USD
167,56,2023,12247557.36,9117664.2,21365221.56,31,USD
168,56,2024,9956830.87,9912592.29,19869423.16,77,USD
169,57,2022,14455221.65,14403515.69,28858737.34,92,USD
170,57,2023,16570163.52,13050310.93,29620474.45,28,USD
171,57,2024,14030985.67,12877355.01,26908340.68,29,USD
172,58,2022,16837323.35,11095777.76,27933101.11,73,USD
173,58,2023,18441407.1,10655737.21,29097144.31,84,USD
174,58,2024,18357246.13,11414174.88,29771421.01,82,USD
175,59,2022,16100147.65,16221342.48,32321490.13,50,USD
176,59,2023,15221570.93,13544891.39,28766462.32,66,USD
177,59,2024,17672024.06,15703527.8,33375551.86,85,USD
178,60,2022,8286659.39,8512715.79,16799375.18,17,USD
179,60,2023,8440412.11,8229348.77,16669760.88,92,USD
180,60,2024,9746544.69,9206155.78,18952700.47,88,USD
181,61,2022,16710340.77,7634039.3,24344380.07,15,USD
182,61,2023,16071057.14,7431907.42,23502964.56,93,USD
183,61,2024,14791007.48,7145244.08,21936251.56,74,USD
184,62,2022,8909231.82,3028217.02,11937448.84,53,USD
185,62,2023,11575427.94,2571220.11,14146648.05,92,USD
186,62,2024,9118724.38,2662874.71,11781599.09,66,USD
187,63,2022,22594362.91,8573000.7,31167363.61,46,USD
188,63,2023,21135015.87,9296656.85,30431672.72,96,USD
189,63,2024,22516145.18,9322676.29,31838821.47,92,USD
190,64,2022,12905671.45,6143368.79,19049040.24,42,USD
191,64,2023,13536515.38,6482811.55,20019326.93,87,USD
192,64,2024,14105616.79,6076483.24,20182100.03,84,USD
193,65,2022,16306209.09,14352088.59,30658297.68,94,USD
194,65,2023,16730137.09,14182255.05,30912392.14,20,USD
195,65,2024,16302838.2,13574435.73,29877273.93,52,USD
196,66,2022,21297607.12,11223040.81,32520647.93,97,USD
197,66,2023,21783127.13,9840566.41,31623693.54,95,USD
198,66,2024,18939166.19,10415507.17,29354673.36,56,USD
199,67,2022,11738971.87,15129878.56,26868850.43,34,USD
200,67,2023,11313089.68,13323911.76,24637001.44,19,USD
201,67,2024,11569119.88,15192981.92,26762101.8,74,USD
202,68,2022,20955320.99,11667962.53,32623283.52,53,USD
203,68,2023,20914225.77,13160053.42,34074279.19,86,USD
204,68,2024,18097232.93,11988090.1,30085323.03,98,USD
205,69,2022,16909474.91,12361532.87,29271007.78,62,USD
206,69,2023,18030206.6,13067304.09,31097510.69,66,USD
207,69,2024,19418973.94,13149433.09,32568407.03,67,USD
208,70,2022,12851067.28,5399770.81,18250838.09,34,USD
209,70,2023,10828971.98,5566085.1,16395057.08,66,USD
210,70,2024,11146411.78,4886196.51,16032608.29,58,USD
211,71,2022,13515829.83,6995585.37,20511415.2,87,USD
212,71,2023,13409072.62,7070465.99,20479538.61,92,USD
213,71,2024,14953114.68,7250887.63,22204002.31,23,USD
214,72,2022,15937421.01,7982196.99,23919618.0,30,USD
215,72,2023,16735439.53,9412607.84,26148047.37,28,USD
216,72,2024,19743255.03,7995846.58,27739101.61,38,USD
217,73,2022,21943563.07,13270405.52,35213968.59,60,USD
218,73,2023,19445547.37,12786777.97,32232325.34,20,USD
219,73,2024,18704567.25,12226275.78,30930843.03,22,USD
220,74,2022,21474764.39,9692109.08,31166873.47,46,USD
221,74,2023,22221348.51,10391922.52,32613271.03,27,USD
222,74,2024,21281982.91,10384932.22,31666915.13,88,USD
223,75,2022,7482351.1,3232918.31,10715269.41,80,USD
224,75,2023,9139768.25,3095914.95,12235683.2,64,USD
225,75,2024,7131789.95,2901527.34,10033317.29,48,USD
226,76,2022,10110471.35,5224973.29,15335444.64,18,USD
227,76,2023,8572787.23,5512940.16,14085727.39,86,USD
228,76,2024,9810856.91,5234300.03,15045156.94,83,USD
229,77,2022,11145404.02,3955281.15,15100685.17,40,USD
230,77,2023,11628531.04,3624698.84,15253229.88,95,USD
231,77,2024,9971533.07,4233549.14,14205082.21,18,USD
232,78,2022,23181920.71,9086897.53,32268818.24,12,USD
233,78,2023,20646084.83,9018872.2,29664957.03,91,USD
234,78,2024,20623206.05,8843158.33,29466364.38,12,USD
235,79,2022,11989758.63,2968712.16,14958470.79,23,USD
236,79,2023,14058113.78,3013660.78,17071774.56,52,USD
237,79,2024,11569687.09,2793249.48,14362936.57,53,USD
238,80,2022,21012823.24,4245903.03,25258726.27,99,USD
239,80,2023,19264245.58,4004432.71,23268678.29,27,USD
240,80,2024,16847794.74,4512365.45,21360160.19,68,USD
241,81,2022,9261653.73,4977205.91,14238859.64,50,USD
242,81,2023,9625179.76,4634899.44,14260079.2,79,USD
243,81,2024,8449800.64,4192457.21,12642257.85,92,USD
244,82,2022,11574880.9,7126493.0,18701373.9,52,USD
245,82,2023,9949143.73,7038230.78,16987374.51,65,USD
246,82,2024,11922830.95,6963809.25,18886640.2,59,USD
247,83,2022,13480973.84,4311129.72,17792103.56,76,USD
248,83,2023,11854463.51,4058932.5,15913396.01,64,USD
249,83,2024,11136349.11,4519369.25,15655718.36,33,USD
250,84,2022,13666747.99,6374507.9,20041255.89,49,USD
251,84,2023,15382932.81,6444594.85,21827527.66,31,USD
252,84,2024,16526826.85,5992386.87,22519213.72,15,USD
253,85,2022,18801643.08,13670667.56,32472310.64,91,USD
254,85,2023,20792808.1,15091669.22,35884477.32,19,USD
255,85,2024,19108802.32,13591079.57,32699881.89,75,USD
256,86,2022,21825494.81,10058431.2,31883926.01,87,USD
257,86,2023,20241955.32,10698391.33,30940346.65,26,USD
258,86,2024,16720615.76,11435732.43,28156348.19,56,USD
259,87,2022,11236575.84,13348920.15,24585495.99,67,USD
260,87,2023,14829959.78,13975928.18,28805887.96,19,USD
261,87,2024,13359957.85,14427581.5,27787539.35,60,USD
262,88,2022,14114723.66,5089812.24,19204535.9,33,USD
263,88,2023,12397839.31,5495873.72,17893713.03,81,USD
264,88,2024,10979306.98,5932190.2,16911497.18,100,USD
265,89,2022,13331304.73,16198247.17,29529551.9,72,USD
266,89,2023,12966281.74,13863374.34,26829656.08,19,USD
267,89,2024,14042837.37,16145015.75,30187853.12,66,USD
268,90,2022,25042201.84,13756677.21,38798879.05,95,USD
269,90,2023,20956434.89,11445828.64,32402263.53,79,USD
270,90,2024,20580475.12,12035096.34,32615571.46,30,USD
271,91,2022,18707475.25,14880811.27,33588286.52,75,USD
272,91,2023,16479100.55,15418946.67,31898047.22,27,USD
273,91,2024,16546441.26,14038413.34,30584854.6,56,USD
274,92,2022,17191675.71,6866042.06,24057717.77,88,USD
275,92,2023,17572590.82,6205623.42,23778214.24,60,USD
276,92,2024,18117830.96,7093326.01,25211156.97,77,USD
277,93,2022,14060121.72,6773916.75,20834038.47,50,USD
278,93,2023,14338326.7,7249372.15,21587698.85,97,USD
279,93,2024,13822747.63,6778321.8,20601069.43,80,USD
280,94,2022,19329065.82,4306689.52,23635755.34,17,USD
281,94,2023,18642944.62,4381325.82,23024270.44,48,USD
282,94,2024,15251180.47,4210685.14,19461865.61,100,USD
283,95,2022,11219834.43,13698912.58,24918747.01,20,USD
284,95,2023,10321866.14,14704010.84,25025876.98,80,USD
285,95,2024,10401677.19,14675276.83,25076954.02,88,USD
286,96,2022,13930961.62,9287137.19,23218098.81,29,USD
287,96,2023,13942863.49,8745898.29,22688761.78,87,USD
288,96,2024,14715148.62,9256967.58,23972116.2,15,USD
289,97,2022,16886990.17,2435872.03,19322862.2,83,USD
290,97,2023,18172781.1,2231844.72,20404625.82,83,USD
291,97,2024,19064006.46,2434705.35,21498711.81,73,USD
292,98,2022,21316385.41,8732615.14,30049000.55,41,USD
293,98,2023,22314848.55,9428913.4,31743761.95,48,USD
294,98,2024,20161005.95,9435501.34,29596507.29,30,USD
295,99,2022,12897657.16,8472219.71,21369876.87,50,USD
296,99,2023,15689466.66,7995501.02,23684967.68,54,USD
297,99,2024,16173078.65,7682686.19,23855764.84,57,USD
298,100,2022,14031293.29,3125186.42,17156479.71,67,USD
299,100,2023,14059496.77,3107804.27,17167301.04,47,USD
300,100,2024,17241975.98,3626594.39,20868570.37,63,USD
301,101,2022,10304219.98,12791737.05,23095957.03,83,USD
302,101,2023,12237070.55,12427120.08,24664190.63,30,USD
303,101,2024,11469812.65,13288015.39,24757828.04,73,USD
304,102,2022,17809590.09,8285055.2,26094645.29,68,USD
305,102,2023,23150169.21,7983506.71,31133675.92,55,USD
306,102,2024,17557431.47,8095614.25,25653045.72,86,USD
307,103,2022,20173161.12,10582470.54,30755631.66,23,USD
308,103,2023,19931009.66,11308949.07,31239958.73,56,USD
309,103,2024,21963816.11,10223704.66,32187520.77,61,USD
310,104,2022,8356726.23,8910265.38,17266991.61,59,USD
311,104,2023,8727335.25,9795602.29,18522937.54,45,USD
312,104,2024,9566851.92,9532937.79,19099789.71,88,USD
313,105,2022,9355780.47,15541663.46,24897443.93,53,USD
314,105,2023,9831009.14,14281602.37,24112611.51,28,USD
315,105,2024,8790921.18,14702853.15,23493774.33,74,USD
316,106,2022,9112301.22,2658222.05,11770523.27,76,USD
317,106,2023,8453069.26,2559136.82,11012206.08,75,USD
318,106,2024,7638140.61,2722073.35,10360213.96,50,USD
319,107,2022,11012732.63,14280606.11,25293338.74,53,USD
320,107,2023,10297577.15,14906909.88,25204487.03,72,USD
321,107,2024,10918470.89,14282261.21,25200732.1,12,USD
322,108,2022,15051216.2,10939601.46,25990817.66,98,USD
323,108,2023,13667213.74,10968022.58,24635236.32,43,USD
324,108,2024,15000585.39,11368263.25,26368848.64,84,USD
325,109,2022,16489970.26,10628405.43,27118375.69,90,USD
326,109,2023,17154324.16,12003106.23,29157430.39,58,USD
327,109,2024,14387024.41,11789470.86,26176495.27,14,USD
328,110,2022,14530265.84,10975797.61,25506063.45,63,USD
329,110,2023,14341182.4,11529940.43,25871122.83,62,USD
330,110,2024,16024726.15,11354404.12,27379130.27,70,USD
331,111,2022,17564318.7,10728705.29,28293023.99,36,USD
332,111,2023,20588777.01,12718130.84,33306907.85,71,USD
333,111,2024,20373988.11,11135061.34,31509049.45,32,USD
334,112,2022,14635679.64,9244776.04,23880455.68,97,USD
335,112,2023,15055901.95,9275934.61,24331836.56,88,USD
336,112,2024,14366780.0,9747516.05,24114296.05,45,USD
337,113,2022,18056684.07,4723991.81,22780675.88,46,USD
338,113,2023,16785255.77,5110592.04,21895847.81,72,USD
339,113,2024,14945261.0,4774394.89,19719655.89,45,USD
340,114,2022,12184914.84,10203597.19,22388512.03,60,USD
341,114,2023,13177984.89,10314881.85,23492866.74,28,USD
342,114,2024,11272854.52,9053599.0,20326453.52,20,USD
343,115,2022,11910247.27,7718458.59,19628705.86,35,USD
344,115,2023,14113253.4,7396104.46,21509357.86,81,USD
345,115,2024,13605275.96,7188598.01,20793873.97,88,USD
346,116,2022,15896408.58,5524819.14,21421227.72,38,USD
347,116,2023,19132788.59,4653253.08,23786041.67,62,USD
348,116,2024,17437095.89,5082459.97,22519555.86,97,USD
349,117,2022,19074573.18,2244779.4,21319352.58,62,USD
350,117,2023,19652614.76,2224745.78,21877360.54,70,USD
351,117,2024,18663597.22,1943092.34,20606689.56,46,USD
352,118,2022,14025664.47,9543024.41,23568688.88,83,USD
353,118,2023,11492466.97,10892982.07,22385449.04,14,USD
354,118,2024,14045506.55,9721023.88,23766530.43,32,USD
355,119,2022,23200552.85,2614809.85,25815362.7,33,USD
356,119,2023,23835364.41,2700934.43,26536298.84,47,USD
357,119,2024,23456865.8,2229758.7,25686624.5,82,USD
358,120,2022,15625440.61,13941452.1,29566892.71,92,USD
359,120,2023,16652506.01,14052782.65,30705288.66,27,USD
360,120,2024,18170278.78,13979924.0,32150202.78,34,USD
