athlete_id,full_name,birth_date,nationality,gender,is_active,profile_bio,photo_url,height_cm,weight_kg,extra_attributes,created_at
18,Kevin Durant,1988-09-29,American,M,TRUE,"Two-time NBA champion, two-time Finals MVP",https://cdn.sportsimages.com/athletes/18.jpg,208.3,109.8,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2020-12-11
19,Giannis Antetokounmpo,1994-12-06,Greek,M,TRUE,"Two-time MVP, 2021 NBA champion",https://cdn.sportsimages.com/athletes/19.jpg,211.0,109.8,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""gold""}",2020-12-10
20,Dak Prescott,1993-07-29,American,M,TRUE,Dallas Cowboys franchise quarterback,https://cdn.sportsimages.com/athletes/20.jpg,188.0,102.1,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2020-11-20
21,Aaron Rodgers,1983-12-02,American,M,TRUE,"Four-time NFL MVP, Super Bowl XLV champion",https://cdn.sportsimages.com/athletes/21.jpg,187.0,99.8,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2020-11-01
22,Phil Mickelson,1970-06-16,American,M,FALSE,"Six-time major champion, LIV Golf",https://cdn.sportsimages.com/athletes/22.jpg,188.0,90.7,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""platinum""}",2022-03-17
23,Rory McIlroy,1989-05-04,Irish,M,TRUE,Four-time major champion,https://cdn.sportsimages.com/athletes/23.jpg,178.0,72.6,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2021-07-04
24,Patrick Mahomes,1995-09-17,American,M,TRUE,Three-time Super Bowl champion,https://cdn.sportsimages.com/athletes/24.jpg,188.0,100.2,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""silver""}",2021-11-23
25,Erling Haaland,2000-07-21,Norwegian,M,TRUE,Premier League record scorer,https://cdn.sportsimages.com/athletes/25.jpg,194.0,88.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""gold""}",2022-05-04
26,Mohamed Salah,1992-06-15,Egyptian,M,TRUE,"Premier League legend, Liverpool captain",https://cdn.sportsimages.com/athletes/26.jpg,175.0,71.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2021-07-01
27,Harry Kane,1993-07-28,British,M,TRUE,"England all-time leading scorer, Bayern Munich",https://cdn.sportsimages.com/athletes/27.jpg,188.0,86.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2020-05-22
28,Jude Bellingham,2003-06-29,British,M,TRUE,Real Madrid midfield star,https://cdn.sportsimages.com/athletes/28.jpg,186.0,75.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""gold""}",2022-01-11
29,Vinicius Junior,2000-07-12,Brazilian,M,TRUE,"Real Madrid winger, 2024 Ballon d'Or favourite",https://cdn.sportsimages.com/athletes/29.jpg,176.0,73.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""gold""}",2022-02-21
30,Joel Embiid,1994-03-16,American,M,TRUE,"2023 NBA MVP, Olympic Gold 2024",https://cdn.sportsimages.com/athletes/30.jpg,213.4,127.0,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""silver""}",2021-11-06
31,Luka Doncic,1999-02-28,Slovenian,M,TRUE,"Five-time All-Star, 2024 NBA Finals",https://cdn.sportsimages.com/athletes/31.jpg,201.0,104.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2022-03-29
32,Ja Morant,1999-08-10,American,M,TRUE,Two-time Most Improved Player,https://cdn.sportsimages.com/athletes/32.jpg,185.4,79.4,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""silver""}",2020-12-23
33,Tyson Fury,1988-08-12,British,M,TRUE,Lineal heavyweight champion,https://cdn.sportsimages.com/athletes/33.jpg,206.0,113.4,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2022-02-24
34,Anthony Joshua,1989-10-15,British,M,TRUE,"Two-time IBF, WBA, WBO champion",https://cdn.sportsimages.com/athletes/34.jpg,198.0,108.0,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2020-12-21
35,Jon Jones,1987-07-19,American,M,TRUE,"UFC heavyweight champion, GOAT debate",https://cdn.sportsimages.com/athletes/35.jpg,193.0,93.0,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""gold""}",2021-06-06
36,Shohei Ohtani,1994-07-05,Japanese,M,TRUE,"Two-way superstar, $700M Dodgers deal",https://cdn.sportsimages.com/athletes/36.jpg,193.0,95.3,"{""sport_id"": 9, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2020-09-27
37,Mike Trout,1991-08-07,American,M,TRUE,Three-time AL MVP,https://cdn.sportsimages.com/athletes/37.jpg,188.0,104.3,"{""sport_id"": 9, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-12-25
38,Virat Kohli,1988-11-05,Indian,M,TRUE,"India cricket legend, 100+ international centuries",https://cdn.sportsimages.com/athletes/38.jpg,175.0,70.0,"{""sport_id"": 10, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2020-12-02
39,Joe Burrow,1996-12-10,American,M,TRUE,"Cincinnati Bengals quarterback, 2022 Super Bowl",https://cdn.sportsimages.com/athletes/39.jpg,193.0,97.5,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2021-09-24
40,Josh Allen,1996-05-21,American,M,TRUE,Buffalo Bills franchise player,https://cdn.sportsimages.com/athletes/40.jpg,196.0,108.9,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2021-12-17
41,Lamar Jackson,1997-01-07,American,M,TRUE,"Two-time NFL MVP, Baltimore Ravens",https://cdn.sportsimages.com/athletes/41.jpg,188.0,96.2,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2020-03-22
42,Trae Young,1998-09-19,American,M,TRUE,Atlanta Hawks All-Star guard,https://cdn.sportsimages.com/athletes/42.jpg,185.4,83.9,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""silver""}",2022-05-15
43,Jayson Tatum,1998-03-03,American,M,TRUE,"2024 NBA Champion, Finals MVP",https://cdn.sportsimages.com/athletes/43.jpg,203.2,95.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2020-10-17
44,Damian Lillard,1990-07-15,American,M,TRUE,"Six-time All-Star, Milwaukee Bucks",https://cdn.sportsimages.com/athletes/44.jpg,188.0,88.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2021-06-15
45,Kyrie Irving,1992-03-23,American,M,TRUE,"2016 NBA champion, Dallas Mavericks",https://cdn.sportsimages.com/athletes/45.jpg,190.5,88.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""platinum""}",2022-09-16
46,James Harden,1989-08-26,American,M,TRUE,"2018 NBA MVP, Los Angeles Clippers",https://cdn.sportsimages.com/athletes/46.jpg,195.6,99.8,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2021-02-17
47,Anthony Davis,1993-03-11,American,M,TRUE,"2020 NBA champion, LA Lakers",https://cdn.sportsimages.com/athletes/47.jpg,208.3,114.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2021-01-30
48,Kawhi Leonard,1991-06-29,American,M,TRUE,"Two-time Finals MVP, LA Clippers",https://cdn.sportsimages.com/athletes/48.jpg,201.0,102.1,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2021-12-14
49,Devin Booker,1996-10-30,American,M,TRUE,Phoenix Suns franchise player,https://cdn.sportsimages.com/athletes/49.jpg,195.6,97.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2021-06-09
50,Nikola Jokic,1995-02-19,Serbian,M,TRUE,"Three-time NBA MVP, 2023 champion",https://cdn.sportsimages.com/athletes/50.jpg,213.4,129.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2020-03-18
51,Zion Williamson,2000-07-06,American,M,TRUE,New Orleans Pelicans power forward,https://cdn.sportsimages.com/athletes/51.jpg,198.1,129.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2021-06-11
52,Donovan Mitchell,1996-09-28,American,M,TRUE,Cleveland Cavaliers star guard,https://cdn.sportsimages.com/athletes/52.jpg,185.4,97.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2021-08-11
53,Bam Adebayo,1997-07-18,American,M,TRUE,Miami Heat All-Star center,https://cdn.sportsimages.com/athletes/53.jpg,208.3,115.7,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2020-02-24
54,Paul George,1990-05-02,American,M,TRUE,Philadelphia 76ers veteran forward,https://cdn.sportsimages.com/athletes/54.jpg,203.2,103.4,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""silver""}",2021-09-06
55,Jimmy Butler,1989-09-14,American,M,TRUE,"Miami Heat captain, Golden State Warriors",https://cdn.sportsimages.com/athletes/55.jpg,201.0,104.3,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2020-10-25
56,Iga Swiatek,2001-05-31,Polish,F,TRUE,"World No. 1, four-time Roland Garros champion",https://cdn.sportsimages.com/athletes/56.jpg,175.0,62.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2022-03-07
57,Aryna Sabalenka,1998-05-05,Belarusian,F,TRUE,Two-time Australian Open champion,https://cdn.sportsimages.com/athletes/57.jpg,182.0,75.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2020-02-15
58,Carlos Alcaraz,2003-05-05,Spanish,M,TRUE,"Two-time Grand Slam champion, World No. 2",https://cdn.sportsimages.com/athletes/58.jpg,183.0,79.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""gold""}",2020-02-27
59,Daniil Medvedev,1996-02-11,Russian,M,TRUE,2021 US Open champion,https://cdn.sportsimages.com/athletes/59.jpg,198.0,83.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-01-18
60,Emma Raducanu,2002-11-13,British,F,TRUE,2021 US Open champion,https://cdn.sportsimages.com/athletes/60.jpg,180.0,65.0,"{""sport_id"": 4, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2022-01-21
61,Jordan Spieth,1993-07-27,American,M,TRUE,Three-time major champion,https://cdn.sportsimages.com/athletes/61.jpg,185.0,79.4,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2021-05-22
62,Dustin Johnson,1984-06-22,American,M,TRUE,"Two-time major champion, LIV Golf",https://cdn.sportsimages.com/athletes/62.jpg,193.0,88.5,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2020-06-01
63,Brooks Koepka,1990-05-03,American,M,TRUE,"Five-time major champion, LIV Golf",https://cdn.sportsimages.com/athletes/63.jpg,188.0,91.2,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2022-04-10
64,Jon Rahm,1994-11-10,Spanish,M,TRUE,Two-time major champion,https://cdn.sportsimages.com/athletes/64.jpg,188.0,99.8,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2020-04-17
65,Scottie Scheffler,1996-06-21,American,M,TRUE,"World No. 1, 2024 Masters champion",https://cdn.sportsimages.com/athletes/65.jpg,190.5,90.7,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2022-05-05
66,Bryson DeChambeau,1993-09-16,American,M,TRUE,Two-time US Open champion,https://cdn.sportsimages.com/athletes/66.jpg,190.5,104.3,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2022-05-13
67,Viktor Hovland,1997-09-18,Norwegian,M,TRUE,2023 FedEx Cup champion,https://cdn.sportsimages.com/athletes/67.jpg,183.0,82.6,"{""sport_id"": 5, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""platinum""}",2020-11-13
68,Deontay Wilder,1985-10-22,American,M,TRUE,Former WBC heavyweight champion,https://cdn.sportsimages.com/athletes/68.jpg,201.0,104.3,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2020-05-31
69,Oleksandr Usyk,1987-01-17,Ukrainian,M,TRUE,Undisputed heavyweight champion 2024,https://cdn.sportsimages.com/athletes/69.jpg,191.0,91.0,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""silver""}",2020-11-20
70,Terence Crawford,1987-09-28,American,M,TRUE,Undisputed welterweight champion,https://cdn.sportsimages.com/athletes/70.jpg,175.3,66.7,"{""sport_id"": 7, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""silver""}",2020-01-20
71,Israel Adesanya,1989-07-22,Nigerian,M,TRUE,Former UFC middleweight champion,https://cdn.sportsimages.com/athletes/71.jpg,193.0,84.0,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2022-07-15
72,Alex Pereira,1987-07-07,Brazilian,M,TRUE,UFC light heavyweight and middleweight champion,https://cdn.sportsimages.com/athletes/72.jpg,193.0,93.0,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""silver""}",2021-07-02
73,Francis Ngannou,1986-09-05,Cameroonian,M,TRUE,"Former UFC heavyweight champion, boxing crossover",https://cdn.sportsimages.com/athletes/73.jpg,193.0,120.0,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""platinum""}",2021-12-20
74,Charles Oliveira,1989-10-17,Brazilian,M,TRUE,Former UFC lightweight champion,https://cdn.sportsimages.com/athletes/74.jpg,178.0,70.3,"{""sport_id"": 8, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2022-03-30
75,Robert Lewandowski,1988-08-21,Polish,M,TRUE,"Barcelona striker, two-time FIFA Best Men's Player",https://cdn.sportsimages.com/athletes/75.jpg,184.0,79.5,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2022-02-14
76,Kevin De Bruyne,1991-06-28,Belgian,M,TRUE,Manchester City midfield maestro,https://cdn.sportsimages.com/athletes/76.jpg,181.0,76.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2022-07-17
77,Virgil van Dijk,1991-07-08,Dutch,M,TRUE,"Liverpool captain, world-class defender",https://cdn.sportsimages.com/athletes/77.jpg,193.0,92.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2021-08-31
78,Lamine Yamal,2007-07-16,Spanish,M,TRUE,"2024 Euro champion at 17, Barcelona prodigy",https://cdn.sportsimages.com/athletes/78.jpg,180.0,69.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2022-01-09
79,Bukayo Saka,2001-09-05,British,M,TRUE,Arsenal and England star winger,https://cdn.sportsimages.com/athletes/79.jpg,178.0,72.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""platinum""}",2020-12-06
80,Phil Foden,2000-05-28,British,M,TRUE,Manchester City midfield star,https://cdn.sportsimages.com/athletes/80.jpg,171.0,69.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2021-07-03
81,Jalen Brunson,1996-08-31,American,M,TRUE,New York Knicks franchise guard,https://cdn.sportsimages.com/athletes/81.jpg,185.4,88.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""silver""}",2020-06-17
82,Cade Cunningham,2001-09-25,American,M,TRUE,Detroit Pistons franchise player,https://cdn.sportsimages.com/athletes/82.jpg,201.0,100.2,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""gold""}",2020-02-04
83,Jaylen Brown,1996-10-24,American,M,TRUE,"2024 NBA champion, Boston Celtics",https://cdn.sportsimages.com/athletes/83.jpg,198.1,101.2,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""gold""}",2021-11-18
84,Karl-Anthony Towns,1995-11-15,American,M,TRUE,New York Knicks center,https://cdn.sportsimages.com/athletes/84.jpg,213.4,115.7,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2021-11-30
85,Shai Gilgeous-Alexander,2001-07-12,Canadian,M,TRUE,Oklahoma City Thunder MVP candidate,https://cdn.sportsimages.com/athletes/85.jpg,198.1,88.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2022-01-23
86,Pascal Siakam,1994-04-02,Cameroonian,M,TRUE,Indiana Pacers forward,https://cdn.sportsimages.com/athletes/86.jpg,203.2,100.2,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""gold""}",2021-03-24
87,Tyrese Haliburton,2000-02-29,American,M,TRUE,Indiana Pacers All-Star,https://cdn.sportsimages.com/athletes/87.jpg,196.0,84.4,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2022-05-28
88,Fernando Alonso,1981-07-29,Spanish,M,TRUE,"Two-time F1 World Champion, Aston Martin",https://cdn.sportsimages.com/athletes/88.jpg,171.0,68.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-08-27
89,Charles Leclerc,1997-10-16,Monegasque,M,TRUE,Ferrari No. 1 driver,https://cdn.sportsimages.com/athletes/89.jpg,180.0,70.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2021-10-10
90,Lando Norris,1999-11-13,British,M,TRUE,"McLaren lead driver, 2024 race winner",https://cdn.sportsimages.com/athletes/90.jpg,170.0,68.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2022-08-18
91,George Russell,1998-02-15,British,M,TRUE,"Mercedes driver, 2022 race winner",https://cdn.sportsimages.com/athletes/91.jpg,185.0,70.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2021-02-18
92,Carlos Sainz,1994-09-01,Spanish,M,TRUE,"Williams driver, former Ferrari ace",https://cdn.sportsimages.com/athletes/92.jpg,178.0,66.0,"{""sport_id"": 6, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""silver""}",2021-07-28
93,Justin Herbert,1998-03-06,American,M,TRUE,"LA Chargers QB, $262M contract",https://cdn.sportsimages.com/athletes/93.jpg,196.0,107.0,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2022-09-19
94,Jalen Hurts,1998-08-07,American,M,TRUE,"Philadelphia Eagles QB, 2023 Super Bowl",https://cdn.sportsimages.com/athletes/94.jpg,185.4,101.2,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2021-06-27
95,CJ Stroud,2001-10-03,American,M,TRUE,Houston Texans rookie sensation,https://cdn.sportsimages.com/athletes/95.jpg,188.0,99.8,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2021-08-27
96,Justin Jefferson,1999-06-16,American,M,TRUE,"Minnesota Vikings WR, $140M extension",https://cdn.sportsimages.com/athletes/96.jpg,188.0,90.7,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 8, ""endorsement_tier"": ""silver""}",2021-09-09
97,Stefon Diggs,1993-11-29,American,M,TRUE,"Wide receiver, Houston Texans",https://cdn.sportsimages.com/athletes/97.jpg,183.0,91.0,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""gold""}",2020-07-02
98,Travis Kelce,1989-10-05,American,M,TRUE,"Greatest TE of all time, Chiefs",https://cdn.sportsimages.com/athletes/98.jpg,196.0,113.4,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""platinum""}",2022-06-25
99,Davante Adams,1992-12-24,American,M,TRUE,"Wide receiver, NY Jets",https://cdn.sportsimages.com/athletes/99.jpg,185.4,97.5,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""gold""}",2021-12-10
