social_id,athlete_id,platform,followers_count,avg_engagement_rate,posts_per_month,verified,joined_date,estimated_post_value_usd
40,40,TikTok,8224966,3.58,15,TRUE,2013-08-15,368777
41,41,YouTube,2752168,2.408,14,TRUE,2011-07-26,75452
42,42,Facebook,2063266,2.085,13,TRUE,2011-01-17,75838
43,43,YouTube,6174390,1.561,23,TRUE,2012-08-17,109946
44,44,Facebook,1204392,1.727,7,TRUE,2011-08-10,77325
45,45,Twitter/X,6240441,3.257,12,TRUE,2013-09-14,130302
46,46,Facebook,900373,2.377,19,TRUE,2010-09-04,140232
47,47,YouTube,3964657,1.236,11,TRUE,2019-05-12,106619
48,48,Facebook,1185932,2.922,17,TRUE,2011-12-22,22132
49,49,Twitter/X,7094931,1.456,25,TRUE,2010-02-14,71505
50,50,TikTok,3133572,2.468,11,TRUE,2020-08-20,79637
51,51,TikTok,7809370,3.025,22,TRUE,2012-02-24,47665
52,52,TikTok,7811643,2.684,15,TRUE,2018-01-01,76858
53,53,Instagram,611607,1.429,24,TRUE,2017-12-13,82537
54,54,Facebook,6589386,2.217,24,TRUE,2019-06-23,101067
55,55,YouTube,7249815,1.757,6,TRUE,2012-01-07,36395
56,56,Instagram,6338743,3.426,23,TRUE,2010-04-16,132592
57,57,Twitter/X,5950412,1.604,5,TRUE,2020-09-07,130374
58,58,TikTok,6956888,2.159,8,TRUE,2016-01-04,82126
59,59,Twitter/X,6697345,2.756,17,TRUE,2017-08-01,146335
60,60,Facebook,2535325,1.503,3,TRUE,2016-01-11,94636
61,61,Instagram,5788261,3.119,21,TRUE,2016-08-24,76595
62,62,Facebook,6632731,2.386,18,TRUE,2010-08-13,58112
63,63,Facebook,5457996,2.812,25,TRUE,2020-08-08,142589
64,64,Instagram,4931775,1.048,11,TRUE,2015-09-03,95550
65,65,YouTube,7958651,2.183,17,TRUE,2019-11-12,84852
66,66,YouTube,674541,1.403,17,TRUE,2013-08-12,115185
67,67,Twitter/X,4758358,1.549,25,TRUE,2020-06-20,139153
68,68,YouTube,1600237,3.208,24,TRUE,2016-07-27,114764
69,69,TikTok,7177102,2.181,12,TRUE,2012-10-07,147263
70,70,Instagram,6095675,2.207,18,TRUE,2013-03-20,42713
71,71,Instagram,7156213,2.04,20,TRUE,2014-04-07,84713
72,72,Instagram,652090,1.897,8,TRUE,2015-11-06,54184
73,73,Facebook,768183,3.017,10,TRUE,2016-02-20,64267
74,74,Instagram,5214242,1.56,4,TRUE,2015-06-25,53793
75,75,Facebook,2743879,3.241,6,TRUE,2018-10-22,131857
76,76,Instagram,4172756,2.997,22,TRUE,2011-02-26,146176
77,77,Facebook,7061202,3.146,6,TRUE,2018-01-17,33352
78,78,Twitter/X,5784203,1.295,12,TRUE,2015-03-24,46920
79,79,YouTube,6891823,2.265,14,TRUE,2011-03-21,116017
80,80,TikTok,7371618,1.344,3,TRUE,2013-08-14,131227
